Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
0,0,0,0
0,0,0,0
3.98001100263025e-19,3.22535956576789e-16,3.96112110969444e-34,7.70217993551695e-33
3.98040900373051e-15,3.22568210172416e-12,3.96151726141622e-26,7.70295023047639e-25
4.3780519030033e-14,3.54792777593692e-11,4.39688800448473e-24,8.54950445255212e-23
4.41781619293058e-13,3.58015234332738e-10,4.44081727288224e-22,8.63492246886072e-21
4.42179262192331e-12,3.58337479986104e-09,3.12484041826955e-20,6.07607856181165e-19
8.40180362455356e-12,6.80873436511549e-09,9.72626920525083e-20,1.8912189992053e-18
1.53894824118281e-11,1.24714766534283e-08,3.07383566675011e-19,5.97690261804957e-18
2.73822020054416e-11,2.21902520074031e-08,9.50951458779162e-19,1.84907224537693e-17
4.81007541639247e-11,3.89803514037275e-08,2.90852534133123e-18,5.65546575338978e-17
8.39507994542096e-11,6.80328555929171e-08,8.82979047720218e-18,1.71690360493786e-16
1.46023492782044e-10,1.18335921215856e-07,2.6680400233509e-17,5.18785508246829e-16
2.53529434118006e-10,2.05457618711941e-07,8.03890422109963e-17,1.56311999437491e-15
4.39770685680903e-10,3.56385592748793e-07,2.41833321891758e-16,4.7023131800506e-15
7.62632953360553e-10,6.18029816287971e-07,7.2722142300648e-16,1.41404091956613e-14
1.32385218673326e-09,1.07283604077667e-06,2.19131243647365e-15,4.26088144119442e-14
2.31110035121712e-09,1.87289166125265e-06,6.67819672628199e-15,1.29853619987815e-13
4.14863929131104e-09,3.36201401155919e-06,2.15194713721188e-14,4.18432968965982e-13
7.37024129634677e-09,5.97276644437632e-06,6.79177353281077e-14,1.32061592585318e-12
1.05918433013825e-08,8.58351867533569e-06,1.40269338099925e-13,2.72744027306235e-12
1.54817300927685e-08,1.25462308871996e-05,2.99680551084425e-13,5.82706527868577e-12
2.03716168841544e-08,1.65089426340175e-05,5.18884306224102e-13,1.00892916532669e-11
2.52615036755404e-08,2.04716539157918e-05,7.97880596174988e-13,1.55141082633543e-11
3.4656809413737e-08,2.80855065980306e-05,1.50174647119734e-12,2.92000183469289e-11
5.29449496451217e-08,4.29060098556063e-05,3.50484221033333e-12,6.81475491389087e-11
7.12330898765063e-08,5.77265066085832e-05,6.3442879902876e-12,1.23355892119182e-10
1.04584363050842e-07,8.47539748620122e-05,1.36757990658422e-11,2.65901651195506e-10
