nicotine puff time,dose mg,overall command,
900,0.1,1,
930,0.1,,
960,0.1,,
990,0.1,,
1020,0.1,,
1050,0.1,,
1080,0.1,,
1110,0.1,,
1140,0.1,,
1170,0.1,,
2700,0.1,1,
2730,0.1,,
2760,0.1,,
2790,0.1,,
2820,0.1,,
2850,0.1,,
2880,0.1,,
2910,0.1,,
2940,0.1,,
2970,0.1,,
5580,0.1,1,
5610,0.1,,
5640,0.1,,
5670,0.1,,
5700,0.1,,
5730,0.1,,
5760,0.1,,
5790,0.1,,
5820,0.1,,
5850,0.1,,
8460,0.1,1,
8490,0.1,,
8520,0.1,,
8550,0.1,,
8580,0.1,,
8610,0.1,,
8640,0.1,,
8670,0.1,,
8700,0.1,,
8730,0.1,,
11700,0.1,1,
11730,0.1,,
11760,0.1,,
11790,0.1,,
11820,0.1,,
11850,0.1,,
11880,0.1,,
11910,0.1,,
11940,0.1,,
11970,0.1,,
13500,0.1,1,
13530,0.1,,
13560,0.1,,
13590,0.1,,
13620,0.1,,
13650,0.1,,
13680,0.1,,
13710,0.1,,
13740,0.1,,
13770,0.1,,
16020,0.1,1,
16050,0.1,,
16080,0.1,,
16110,0.1,,
16140,0.1,,
16170,0.1,,
16200,0.1,,
16230,0.1,,
16260,0.1,,
16290,0.1,,
18900,0.1,1,
18930,0.1,,
18960,0.1,,
18990,0.1,,
19020,0.1,,
19050,0.1,,
19080,0.1,,
19110,0.1,,
19140,0.1,,
19170,0.1,,
20340,0.1,1,
20370,0.1,,
20400,0.1,,
20430,0.1,,
20460,0.1,,
20490,0.1,,
20520,0.1,,
20550,0.1,,
20580,0.1,,
20610,0.1,,
23220,0.1,1,
23250,0.1,,
23280,0.1,,
23310,0.1,,
23340,0.1,,
23370,0.1,,
23400,0.1,,
23430,0.1,,
23460,0.1,,
23490,0.1,,
26820,0.1,1,
26850,0.1,,
26880,0.1,,
26910,0.1,,
26940,0.1,,
26970,0.1,,
27000,0.1,,
27030,0.1,,
27060,0.1,,
27090,0.1,,
30060,0.1,1,
30090,0.1,,
30120,0.1,,
30150,0.1,,
30180,0.1,,
30210,0.1,,
30240,0.1,,
30270,0.1,,
30300,0.1,,
30330,0.1,,
32500,0.1,1,
32530,0.1,,
32560,0.1,,
32590,0.1,,
32620,0.1,,
32650,0.1,,
32680,0.1,,
32710,0.1,,
32740,0.1,,
32770,0.1,,
34020,0.1,1,
34050,0.1,,
34080,0.1,,
34110,0.1,,
34140,0.1,,
34170,0.1,,
34200,0.1,,
34230,0.1,,
34260,0.1,,
34290,0.1,,
37260,0.1,1,
37290,0.1,,
37320,0.1,,
37350,0.1,,
37380,0.1,,
37410,0.1,,
37440,0.1,,
37470,0.1,,
37500,0.1,,
37530,0.1,,
40500,0.1,1,
40530,0.1,,
40560,0.1,,
40590,0.1,,
40620,0.1,,
40650,0.1,,
40680,0.1,,
40710,0.1,,
40740,0.1,,
40770,0.1,,
44100,0.1,1,
44130,0.1,,
44160,0.1,,
44190,0.1,,
44220,0.1,,
44250,0.1,,
44280,0.1,,
44310,0.1,,
44340,0.1,,
44370,0.1,,
45540,0.1,1,
45570,0.1,,
45600,0.1,,
45630,0.1,,
45660,0.1,,
45690,0.1,,
45720,0.1,,
45750,0.1,,
45780,0.1,,
45810,0.1,,
48060,0.1,1,
48090,0.1,,
48120,0.1,,
48150,0.1,,
48180,0.1,,
48210,0.1,,
48240,0.1,,
48270,0.1,,`
48300,0.1,,
48330,0.1,,
52020,0.1,1,
52050,0.1,,
52080,0.1,,
52110,0.1,,
52140,0.1,,
52170,0.1,,
52200,0.1,,
52230,0.1,,
52260,0.1,,
52290,0.1,,
55260,0.1,1,
55290,0.1,,
55320,0.1,,
55350,0.1,,
55380,0.1,,
55410,0.1,,
55440,0.1,,
55470,0.1,,
55500,0.1,,
55530,0.1,,
